id_entrega,distancia_km,tipo_veiculo,capacidade_veiculo_t,carga_t,tempo_estimado_min,tempo_real_min,valor_frete,custo_combustivel
10139,494.32,Carreta_Bau,28.0,25.67,733.94,654.91,3773.78,1592.02
10140,73.79,3/4,4.0,3.94,196.83,182.23,289.62,66.39
10141,61.19,Truck,14.0,2.8,210.02,177.32,373.42,101.56
10142,17.88,Toco,6.0,4.41,66.78,81.18,122.62,17.36
10143,458.59,Carreta_Sider,28.0,26.79,614.67,670.69,3644.52,1525.45
10144,10.64,3/4,4.0,2.67,47.7,60.92,71.66,5.99
10145,59.93,VUC,3.0,0.57,156.81,123.08,170.01,38.42
10146,49.53,Truck,14.0,2.28,140.88,147.87,305.87,73.27
10147,25.66,3/4,4.0,2.31,55.83,70.4,104.9,18.45
10148,30.64,VUC,3.0,2.85,57.95,68.38,122.54,22.61
10149,39.68,VUC,3.0,1.16,96.92,92.71,123.89,23.41
10150,49.09,Toco,6.0,2.69,157.11,156.69,227.61,44.18
10151,427.49,Carreta_Sider,28.0,23.14,696.82,632.84,3352.78,1411.47
10152,218.1,Truck,14.0,11.64,604.03,634.63,1326.71,364.52
10153,39.51,Toco,6.0,5.71,153.42,120.0,223.02,44.43
10154,39.24,3/4,4.0,3.45,115.59,82.39,162.12,25.39
10155,14.53,Truck,14.0,9.17,75.08,42.91,205.12,29.02
10156,117.99,Truck,14.0,13.27,299.36,379.21,821.28,195.79
10157,82.77,VUC,3.0,2.02,176.68,172.3,261.29,55.09
10158,339.22,Carreta_Sider,28.0,18.52,460.36,536.62,2661.1,1116.17
10159,109.67,Toco,6.0,0.98,258.55,282.94,459.08,115.66
10160,398.53,Carreta_Bau,28.0,15.04,614.3,569.41,2961.33,1245.15
10161,59.43,Truck,14.0,2.61,158.03,200.58,360.18,103.73
10162,408.15,Carreta_Sider,28.0,25.59,666.71,619.8,3268.33,1345.13
10163,17.3,3/4,4.0,0.64,50.75,46.53,65.2,12.66
10164,42.57,Toco,6.0,2.47,104.49,124.92,201.45,52.28
10165,41.92,Truck,14.0,13.94,147.15,151.27,413.41,66.7
10166,58.66,Toco,6.0,4.95,187.25,170.76,302.53,61.45
10167,334.24,Carreta_Sider,28.0,22.23,407.69,517.84,2696.66,1101.93
10168,166.46,Toco,6.0,4.54,396.56,418.98,726.48,181.81
10169,59.41,VUC,3.0,0.58,141.41,136.17,182.52,32.96
10170,467.18,Carreta_Sider,28.0,11.06,734.06,638.62,3454.16,1503.32
10171,62.72,Toco,6.0,4.97,177.32,175.47,314.14,74.5
10172,67.51,3/4,4.0,3.64,160.94,169.12,259.92,55.72
10173,13.41,VUC,3.0,1.34,34.96,26.54,46.51,11.05
10174,348.27,Carreta_Bau,28.0,10.37,418.89,500.67,2536.96,1081.26
10175,31.75,3/4,4.0,1.4,65.44,79.12,119.62,33.5
10176,5.58,3/4,4.0,2.46,24.14,22.08,51.65,9.43
10177,45.37,3/4,4.0,1.59,138.24,127.29,170.97,37.64
10178,313.83,Carreta_Bau,28.0,4.71,393.69,465.91,2231.45,970.05
10179,336.23,Carreta_Bau,28.0,13.5,502.02,507.62,2506.6,1062.78
10180,130.23,VUC,3.0,1.86,294.7,309.23,378.89,78.74
10181,409.69,Carreta_Sider,28.0,19.29,524.1,615.97,3182.63,1338.59
10182,120.83,Toco,6.0,2.65,285.04,294.3,508.32,132.1
10183,43.08,VUC,3.0,1.25,100.32,91.86,132.92,20.91
10184,70.82,VUC,3.0,1.17,138.56,176.63,215.26,37.17
10185,340.81,Carreta_Bau,28.0,19.04,429.82,500.28,2624.23,1073.86
10186,166.93,Toco,6.0,2.35,356.09,422.05,707.83,180.14
10187,19.21,VUC,3.0,2.79,53.29,57.94,85.84,2.4
10188,61.47,Toco,6.0,2.34,156.1,166.14,288.52,64.04
10189,183.27,Toco,6.0,4.93,554.35,494.67,816.07,184.77
10190,31.91,VUC,3.0,1.27,77.27,75.89,105.93,22.48
10191,194.13,3/4,4.0,2.76,409.38,481.59,682.0,168.3
10192,38.75,3/4,4.0,2.98,74.89,95.22,163.61,32.13
10193,69.46,3/4,4.0,1.19,186.51,160.68,244.1,63.88
10194,101.08,Toco,6.0,2.84,288.46,255.88,447.55,113.13
10195,10.51,VUC,3.0,0.78,37.47,22.94,48.36,2.66
10196,35.19,VUC,3.0,1.75,89.95,95.34,104.03,18.19
10197,39.61,VUC,3.0,2.77,63.73,76.25,142.97,30.34
10198,474.03,Carreta_Bau,28.0,18.39,672.54,644.18,3533.71,1506.19
10199,69.13,Truck,14.0,10.45,199.26,230.65,516.2,112.77
10200,22.13,Truck,14.0,5.47,90.75,57.37,198.58,26.99
10201,436.8,Carreta_Bau,28.0,15.34,670.94,591.27,3213.06,1380.68
10202,108.3,Toco,6.0,4.68,324.33,286.11,500.82,119.37
10203,90.21,Toco,6.0,1.57,189.77,245.67,393.69,95.92
10204,94.8,Truck,14.0,3.55,261.76,283.35,562.47,137.87
10205,78.52,VUC,3.0,1.02,165.71,179.63,231.97,52.34
10206,31.27,VUC,3.0,1.05,60.56,64.64,104.74,19.49
10207,64.41,3/4,4.0,3.87,181.46,181.97,254.33,53.18
10208,119.22,Toco,6.0,1.71,302.96,323.89,498.49,123.14
10209,11.57,VUC,3.0,0.72,40.68,24.69,47.76,7.83
10210,83.29,3/4,4.0,1.07,171.02,197.86,300.33,71.73
10211,427.72,Carreta_Bau,28.0,9.03,603.6,567.09,3066.83,1327.88
10212,50.96,3/4,4.0,1.85,137.11,142.3,185.39,45.74
10213,20.06,3/4,4.0,1.27,42.21,42.35,77.68,11.0
10214,97.89,Toco,6.0,1.35,258.23,251.08,417.24,100.91
10215,294.32,Carreta_Sider,28.0,7.45,393.89,447.32,2187.97,945.34
10216,140.6,Toco,6.0,4.93,429.39,346.93,638.51,152.89
10217,33.79,VUC,3.0,1.78,77.3,70.71,113.53,30.28
10218,76.87,Truck,14.0,10.98,242.67,250.66,564.83,128.55
10219,346.44,Carreta_Sider,28.0,8.41,537.71,506.91,2570.96,1105.11
10220,83.19,3/4,4.0,1.64,168.07,212.88,302.5,62.05
10221,51.29,VUC,3.0,2.95,92.05,129.54,183.75,37.6
10222,47.71,Truck,14.0,3.12,180.78,144.9,293.3,73.35
10223,519.29,Carreta_Bau,28.0,14.64,731.2,699.6,3773.84,1638.11
10224,168.11,Truck,14.0,5.62,493.69,487.37,977.76,269.31
10225,72.32,VUC,3.0,0.47,162.09,154.82,210.02,46.47
10226,501.59,Carreta_Bau,28.0,17.35,700.42,709.36,3702.82,1585.05
10227,79.18,VUC,3.0,1.85,146.37,178.15,242.78,52.19
10228,73.6,VUC,3.0,1.27,176.35,140.38,229.35,50.44
10229,462.83,Carreta_Bau,28.0,15.44,574.76,632.77,3406.4,1458.43
10230,38.98,Toco,6.0,2.9,101.3,109.0,193.59,45.42
10231,62.42,3/4,4.0,2.18,136.71,160.9,239.85,44.37
10232,82.02,3/4,4.0,3.48,204.79,224.77,305.43,72.85
10233,513.99,Carreta_Bau,28.0,21.19,695.81,718.58,3840.18,1638.97
10234,17.81,VUC,3.0,1.16,63.23,47.74,59.56,9.99
10235,420.63,Carreta_Sider,28.0,9.9,631.4,591.05,3118.43,1341.14
10236,459.22,Carreta_Bau,28.0,21.46,588.92,664.79,3466.54,1456.69
10237,39.32,VUC,3.0,1.02,90.58,89.01,124.9,26.01
10238,347.7,Carreta_Bau,28.0,25.8,436.5,502.15,2773.9,1120.88
10239,9.15,VUC,3.0,2.57,34.93,37.47,55.9,8.01
10240,41.21,3/4,4.0,1.46,122.12,90.05,157.35,34.5
10241,463.6,Carreta_Sider,28.0,23.28,575.76,678.31,3624.39,1527.2
10242,142.39,Truck,14.0,4.38,337.65,415.57,817.57,224.06
10243,74.28,VUC,3.0,0.51,151.15,160.24,222.68,35.98
10244,21.93,3/4,4.0,3.87,54.44,28.04,108.93,19.65
10245,53.31,Toco,6.0,4.78,174.52,167.29,256.62,68.18
10246,410.2,Carreta_Sider,28.0,15.84,459.75,580.67,3143.5,1335.53
10247,7.33,3/4,4.0,3.47,25.34,23.61,59.0,2.52
10248,85.69,3/4,4.0,0.86,179.89,208.36,296.3,71.3
10249,78.62,3/4,4.0,3.11,157.31,189.64,287.6,66.8
10250,51.72,3/4,4.0,3.85,117.83,164.74,215.37,36.18
10251,362.21,Carreta_Bau,28.0,23.68,565.11,511.92,2841.04,1162.07
10252,120.43,3/4,4.0,2.07,319.25,278.31,429.64,101.28
10253,68.23,VUC,3.0,1.33,143.24,163.65,202.16,42.57
10254,13.46,3/4,4.0,3.63,47.61,41.26,84.65,21.58
10255,80.91,VUC,3.0,1.19,207.16,178.5,247.12,50.85
10256,218.93,Truck,14.0,13.26,515.99,679.04,1356.42,374.68
10257,186.85,Truck,14.0,5.91,600.88,547.0,1083.56,298.56
10258,69.09,Toco,6.0,1.54,199.74,207.8,306.22,66.11
10259,14.92,3/4,4.0,1.4,46.58,58.04,66.79,8.44
10260,93.24,VUC,3.0,1.77,194.9,214.56,294.92,65.72
10261,6.05,3/4,4.0,1.05,12.06,26.24,32.35,1.25
10262,267.2,Carreta_Sider,28.0,13.24,339.3,402.7,2089.08,858.43
10263,61.19,Toco,6.0,5.52,186.77,187.42,320.69,69.5
10264,19.63,VUC,3.0,0.69,50.7,60.39,54.59,10.42
10265,179.3,Toco,6.0,4.03,472.79,467.71,778.75,198.72
10266,69.45,VUC,3.0,1.48,172.73,153.15,210.86,40.98
10267,10.41,Truck,14.0,9.8,29.32,50.37,183.94,12.52
10268,11.38,VUC,3.0,1.7,27.08,54.89,49.07,15.59
10269,46.43,VUC,3.0,2.69,89.94,113.56,163.65,26.17
10270,94.45,Toco,6.0,2.95,231.71,225.81,409.34,97.92
10271,29.16,VUC,3.0,1.75,56.35,72.11,103.21,21.02
10272,59.74,3/4,4.0,1.04,133.05,143.94,212.61,35.82
10273,51.19,3/4,4.0,2.27,113.11,93.34,205.05,47.07
10274,80.63,Toco,6.0,1.49,211.84,205.96,343.38,94.87
10275,211.8,Truck,14.0,9.04,678.84,654.87,1265.27,351.94
10276,30.26,Toco,6.0,3.08,58.69,61.22,163.56,27.55
10277,54.5,3/4,4.0,3.26,147.72,122.1,220.44,43.26
10278,90.51,3/4,4.0,2.02,230.68,183.15,335.57,76.79
10279,220.81,Carreta_Sider,28.0,19.21,390.77,355.48,1858.58,726.01
10280,349.92,Carreta_Sider,28.0,5.6,544.23,489.52,2562.2,1123.54
10281,34.27,Toco,6.0,4.52,110.61,88.74,189.66,45.45
10282,43.99,Toco,6.0,5.78,127.13,154.31,252.37,47.78
10283,84.88,VUC,3.0,1.59,159.86,199.65,250.9,51.64
10284,34.26,3/4,4.0,0.63,92.95,87.75,116.31,24.45
10285,38.64,VUC,3.0,1.99,78.83,115.9,141.12,28.13
10286,31.67,VUC,3.0,0.82,89.78,70.69,104.49,25.36
10287,77.67,Toco,6.0,3.29,236.06,197.21,349.92,84.58
10288,88.67,Truck,14.0,2.49,251.36,264.08,536.53,141.59
10289,61.43,Toco,6.0,3.16,149.24,148.52,279.23,77.11
10290,60.75,Truck,14.0,12.51,190.89,175.88,501.87,104.53
10291,152.32,Truck,14.0,3.71,434.89,457.34,865.62,234.23
10292,39.49,3/4,4.0,2.29,93.71,108.8,170.91,33.32
10293,197.47,Truck,14.0,5.12,632.38,556.85,1126.11,319.86
10294,5.14,VUC,3.0,1.12,10.35,29.71,26.23,1.91
10295,229.79,Carreta_Bau,28.0,19.51,327.41,385.8,1856.25,736.47
10296,285.85,Carreta_Bau,28.0,22.01,348.13,437.73,2304.07,911.31
10297,111.19,Truck,14.0,12.49,301.05,329.15,763.4,180.16
10298,519.66,Carreta_Bau,28.0,10.82,580.31,713.27,3729.25,1618.16
10299,222.67,Carreta_Bau,28.0,5.88,378.13,361.95,1625.51,691.07
10300,217.12,Toco,6.0,3.16,563.24,576.49,915.17,228.41
10301,330.82,Carreta_Bau,28.0,18.11,548.6,499.32,2524.33,1045.69
10302,19.83,VUC,3.0,2.34,46.54,29.36,81.38,17.11
10303,17.42,VUC,3.0,2.38,47.32,27.82,74.67,4.51
10304,14.55,VUC,3.0,2.65,43.3,40.55,73.36,4.31
10305,457.96,Carreta_Sider,28.0,4.94,631.01,653.46,3330.92,1449.37
10306,63.52,3/4,4.0,3.94,159.72,163.36,263.12,50.69
10307,16.41,3/4,4.0,3.89,47.35,45.6,106.1,11.63
10308,289.14,Carreta_Bau,28.0,5.05,336.33,407.79,2068.35,890.23
10309,11.79,VUC,3.0,1.25,43.48,57.45,39.8,2.91
10310,38.81,VUC,3.0,2.4,101.92,113.03,135.81,23.31
10311,26.66,VUC,3.0,1.67,47.76,47.97,90.29,21.98
10312,17.27,Toco,6.0,0.92,68.05,70.11,84.84,19.97
10313,17.3,VUC,3.0,1.35,44.47,51.83,61.85,21.69
10314,27.31,VUC,3.0,1.93,65.92,78.77,88.78,14.22
10315,52.85,3/4,4.0,3.59,124.64,156.13,227.25,43.42
10316,72.99,VUC,3.0,2.56,159.76,183.28,235.91,48.34
10317,81.6,VUC,3.0,2.86,210.99,188.31,262.63,50.91
10318,200.76,Truck,14.0,7.67,517.71,583.04,1172.88,327.49
10319,72.38,Toco,6.0,4.97,234.83,194.91,351.28,70.19
10320,335.5,Carreta_Sider,28.0,6.6,524.82,496.12,2469.12,1069.92
10321,300.25,Carreta_Sider,28.0,16.54,402.68,506.46,2358.16,983.7
10322,61.17,VUC,3.0,2.79,168.84,139.92,206.8,49.56
10323,86.59,Truck,14.0,12.08,288.5,284.57,626.92,151.14
10324,51.3,VUC,3.0,2.12,115.6,124.34,174.99,33.78
10325,274.81,Carreta_Bau,28.0,7.75,411.08,403.6,2004.67,854.5
10326,513.15,Carreta_Bau,28.0,8.53,703.64,699.01,3650.83,1595.37
10327,518.28,Carreta_Bau,28.0,20.35,729.88,702.2,3857.59,1646.91
10328,61.64,VUC,3.0,1.28,109.9,125.85,193.22,34.4
10329,333.83,Carreta_Bau,28.0,12.04,446.03,498.12,2464.91,1045.69
10330,41.46,VUC,3.0,2.61,95.61,81.03,153.37,26.5
10331,123.9,Truck,14.0,2.34,386.59,380.25,695.29,201.92
10332,33.79,Truck,14.0,6.77,100.14,129.38,275.22,43.03
10333,335.94,Carreta_Bau,28.0,9.87,516.54,507.62,2446.63,1045.42
10334,499.8,Carreta_Bau,28.0,4.84,547.61,680.14,3509.96,1546.25
10335,34.19,3/4,4.0,1.34,87.04,78.3,137.23,31.48
10336,17.5,3/4,4.0,1.23,45.3,70.15,78.02,9.7
10337,76.49,3/4,4.0,2.32,168.88,202.64,290.5,58.36
10338,488.42,Carreta_Sider,28.0,14.56,678.24,700.53,3661.34,1586.29
10339,9.04,VUC,3.0,1.65,33.01,41.8,50.54,9.72
10340,186.59,Toco,6.0,5.38,542.84,458.6,817.55,209.04
10341,65.4,VUC,3.0,1.71,167.78,159.1,202.91,42.51
10342,175.8,VUC,3.0,2.08,321.34,356.23,525.36,116.74
10343,159.71,Truck,14.0,9.81,545.44,465.81,994.92,264.24
10344,82.67,VUC,3.0,1.77,214.13,170.92,252.19,56.07
10345,443.41,Carreta_Bau,28.0,11.45,509.91,593.22,3217.17,1390.27
10346,303.27,Carreta_Bau,28.0,25.7,363.58,473.3,2469.4,973.69
10347,238.67,Carreta_Bau,28.0,14.63,360.68,382.8,1858.05,746.34
10348,49.27,Toco,6.0,3.81,129.33,160.04,241.07,57.35
10349,10.39,Toco,6.0,3.75,45.46,63.02,85.94,8.76
10350,42.99,VUC,3.0,2.56,104.97,104.31,150.72,18.29
10351,35.23,Toco,6.0,3.63,132.8,117.93,189.81,45.47
10352,93.68,VUC,3.0,1.62,223.41,203.57,280.29,61.23
10353,66.91,VUC,3.0,1.62,138.4,148.6,200.85,43.88
10354,69.64,VUC,3.0,2.44,155.65,158.12,212.07,44.36
10355,50.94,VUC,3.0,1.29,153.94,115.06,165.17,36.58
10356,68.56,VUC,3.0,2.83,143.67,157.43,233.4,38.5
10357,233.04,Carreta_Sider,28.0,24.35,342.19,407.64,1998.98,772.4
10358,212.05,Truck,14.0,3.75,593.2,597.11,1191.32,341.83
10359,69.75,VUC,3.0,1.26,159.47,150.0,211.17,47.09
10360,10.04,Truck,14.0,12.88,43.81,72.58,239.75,8.2
10361,470.11,Carreta_Sider,28.0,10.83,676.5,654.56,3479.5,1518.18
10362,24.26,VUC,3.0,1.26,44.86,54.99,87.52,13.33
10363,5.18,VUC,3.0,1.0,34.69,37.39,25.0,0.02
10364,50.39,VUC,3.0,0.59,126.95,105.23,147.53,23.8
10365,269.11,Carreta_Bau,28.0,15.59,334.85,425.4,2083.47,859.37
10366,83.7,VUC,3.0,2.37,192.44,187.23,272.23,53.71
10367,198.71,3/4,4.0,2.84,455.97,470.49,690.66,171.11
10368,396.92,Carreta_Sider,28.0,4.86,615.37,569.11,2893.08,1258.06
10369,59.47,VUC,3.0,1.78,126.61,123.95,183.4,30.54
10370,365.07,Carreta_Sider,28.0,12.06,451.39,530.57,2742.51,1183.76
10371,399.03,Carreta_Bau,28.0,19.47,505.55,596.46,3026.76,1261.07
10372,49.52,VUC,3.0,1.48,93.68,106.93,161.52,38.13
10373,88.26,Toco,6.0,5.9,254.48,230.48,420.55,107.14
10374,19.67,VUC,3.0,2.56,52.48,47.56,71.98,8.94
10375,10.79,VUC,3.0,2.24,36.06,31.78,52.77,4.68
10376,87.47,Truck,14.0,8.24,320.51,266.36,577.48,130.37
10377,444.33,Carreta_Bau,28.0,18.27,684.47,631.85,3327.68,1399.55
